type,id,name,gender,person,description
way,150370400,"Avenue Abbesse de Remiremont",F,"Abbesse de Remiremont","Abbesse de l'abbaye de Remiremont"
way,393650951,"Rue Marie Tête de Bois",F,"Marie Tête de Bois",
way,104206252,"Rue Sainte-Gertrude",F,Sainte-Gertrude,
way,496886808,"Rue Sainte-Gertrude",F,Sainte-Gertrude,
way,24479645,"Avenue du Prince d'Orange",M,"Prince d'Orange",
way,22912698,"Avenue Geneviève de Brabant",M,"Geneviève de Brabant",
way,32499124,"Avenue Georges Rousseau",M,"Georges Rousseau",
way,22912692,"Avenue Henri de Witthem",M,"Henri de Witthem","Seigneur de Braine-l'Alleud"
way,22775932,"Avenue Raymond Brassinne",M,"Raymond Brassinne","Bourgmestre liberal de 1965 à 1967"
way,171277183,"Avenue Saint-Jacques",M,Saint-Jacques,
way,27369172,"Chemin Jean Lanneau",M,"Jean Lanneau",
way,27369245,"Chemin Jean Lanneau",M,"Jean Lanneau",
way,22990468,"Clos Armand Bernier",M,"Armand Bernier","Poète de Braine-l'Alleud"
way,24479640,"Clos du Prince d'Orange",M,"Prince d'Orange",
way,104206249,"Clos Saint-Jean",M,Saint-Jean,
way,22912642,"Drève du Petit Père Denis",M,"Petit Père Denis",
way,22912656,"Drève du Petit Père Michel",M,"Petit Père Michel",
way,27381569,"Pierre Charlier",M,Charlier,
way,97144795,"Place Abbé Renard",M,"Abbé Renard",
way,23159532,"Rue Armand de Moor",M,"Armand de Moor",
way,23159804,"Rue Armand Wilputte",M,"Armand Wilputte",
way,23159805,"Rue Armand Wilputte",M,"Armand Wilputte",
way,23159727,"Rue Arnould Bourgeys",M,"Arnould Bourgeys",
way,23298971,"Rue Comte Jacques de Meeus",M,"Comte Jacques de Meeus",
way,15239726,"Rue Doyen Van Belle",M,"Ulrich Van Belle","Curé-doyen de Braine de 1930 à 1949"
way,164836818,"Rue Émile Dury",M,"Émile Dury",
way,164836819,"Rue Émile Dury",M,"Émile Dury",
way,22887174,"Rue Ernest Laurent",M,"Ernest Laurent",Echevin
way,27292738,"Rue Ernest Laurent",M,"Ernest Laurent",Echevin
way,844062058,"Rue Ernest Laurent",M,"Ernest Laurent",Echevin
way,15239626,"Rue Gaston Dubois",M,"Gaston Dubois",
way,38503793,"Rue Gaston Dubois",M,"Gaston Dubois",
way,221233315,"Rue Gaston Dubois",M,"Gaston Dubois",
way,393645513,"Rue Jacques Hubeau",M,"Jacques Hubeau",
way,23159896,"Rue Jean Lanneau",M,"Jean Lanneau",
way,23705739,"Rue Jean le Meunier",M,"Jean le Meunier",
way,378675826,"Rue Jean le Meunier",M,"Jean le Meunier",
way,22983555,"Rue Joseph Gos",M,"Joseph Gos",
way,727081992,"Rue Joseph Gos",M,"Joseph Gos",
way,727148696,"Rue Joseph Gos",M,"Joseph Gos",
way,727317212,"Rue Joseph Gos",M,"Joseph Gos",
way,23705794,"Rue Marius Wautier",M,"Marius Wautier",
way,23705800,"Rue Marius Wautier",M,"Marius Wautier",
way,428935504,"Rue Marius Wautier",M,"Marius Wautier",
way,730972663,"Rue Marius Wautier",M,"Marius Wautier",
way,88396777,"Rue Michel Botte",M,"Michel Botte",
way,104291073,"Rue Michel Botte",M,"Michel Botte",
way,220797740,"Rue Michel Botte",M,"Michel Botte",
way,220797741,"Rue Michel Botte",M,"Michel Botte",
way,302049237,"Rue Michel Botte",M,"Michel Botte",
way,23159785,"Rue Norbert Bourgeys",M,"Norbert Bourgeys",
way,15239731,"Rue Petit Jean",M,"Petit Jean",
way,727317211,"Rue Petit Jean",M,"Petit Jean",
way,40544430,"Rue Pierre Flamand",M,"Pierre Flamand",
way,40544431,"Rue Pierre Flamand",M,"Pierre Flamand",
way,78486023,"Rue Pierre Flamand",M,"Pierre Flamand",
way,314950530,"Rue Pierre Flamand",M,"Pierre Flamand",
way,393555136,"Rue Pierre Flamand",M,"Pierre Flamand",
way,520496892,"Rue Pierre Flamand",M,"Pierre Flamand",
way,609020723,"Rue Pierre Flamand",M,"Pierre Flamand",
way,609020724,"Rue Pierre Flamand",M,"Pierre Flamand",
way,15239623,"Rue Raymond Lebleux",M,"Raymond Lebleux",
way,27719699,"Rue Raymond Lebleux",M,"Raymond Lebleux",
way,105002662,"Rue Raymond Lebleux",M,"Raymond Lebleux",
way,178566491,"Rue Raymond Lebleux",M,"Raymond Lebleux",
way,235355610,"Rue Raymond Lebleux",M,"Raymond Lebleux",
way,493098420,"Rue Raymond Lebleux",M,"Raymond Lebleux",
way,529815672,"Rue Raymond Lebleux",M,"Raymond Lebleux",
way,104683934,"Rue René Francq",M,"René Francq",
way,104683937,"Rue René Francq",M,"René Francq",
way,104683948,"Rue René Francq",M,"René Francq",
way,23159774,"Rue Roger Laus",M,"Roger Laus",
way,394360571,"Rue Saint-Nicolas",M,Saint-Nicolas,
way,419759315,"Rue Saint-Nicolas",M,Saint-Nicolas,
way,645778668,"Rue Saint-Nicolas",M,Saint-Nicolas,
way,23008353,"Rue Wayez",M,"Achille Wayez","Bourgmestre libéral de Braine-l'Alleud (avril 1867-janvier 1891)"
way,609020728,"Rue Wayez",M,"Achille Wayez","Bourgmestre libéral de Braine-l'Alleud (avril 1867-janvier 1891)"
way,756066140,"Rue Wayez",M,"Achille Wayez","Bourgmestre libéral de Braine-l'Alleud (avril 1867-janvier 1891)"
way,756066141,"Rue Wayez",M,"Achille Wayez","Bourgmestre libéral de Braine-l'Alleud (avril 1867-janvier 1891)"
way,756066142,"Rue Wayez",M,"Achille Wayez","Bourgmestre libéral de Braine-l'Alleud (avril 1867-janvier 1891)"
