name,source,gender,wikidata,type
"Place Abbé Renard",csv+wikidata,?,Q164294,way
"Avenue Béatrice de Cusance",wikidata,F,Q660224,way
"Avenue Geneviève de Brabant",wikidata,F,Q269052,way
"Avenue Reine Astrid",wikidata,F,Q230238,way
"Chaussée Reine Astrid",wikidata,F,Q230238,way
"Clos Sainte-Rita",wikidata,F,Q153024,way
"Clos Sainte-Rolande",wikidata,F,Q21512031,way
"Place Sainte-Anne",wikidata,F,Q164294,way
"Rue Notre-Dame",wikidata,F,Q345,way
"Rue Sainte-Anne",wikidata,F,Q164294,way
"Allée Saint-Martin",wikidata,M,Q133704,way
"Avenue Albert 1er",wikidata,M,Q55008046,way
"Avenue Alphonse Allard",wikidata,M,Q28687475,way
"Avenue Blücher",wikidata,M,Q153522,way
"Avenue Capitaine Mercier",wikidata,M,Q5054791,way
"Avenue Général Milhaud",wikidata,M,Q274338,way
"Avenue Général Ruquoy",wikidata,M,Q3263065,way
"Avenue Jacques Brel",wikidata,M,Q1666,way
"Avenue Léon Jourez",wikidata,M,Q3271092,way
"Avenue Maréchal Ney",wikidata,M,Q40756,way
"Avenue Napoléon",wikidata,M,Q517,way
"Avenue Prince Jérôme Bonaparte",wikidata,M,Q151087,way
"Avenue Sir Walter Scott",wikidata,M,Q79025,way
"Avenue Victor Hugo",wikidata,M,Q535,way
"Avenue Wellington",wikidata,M,Q131691,way
"Avenue du Général Kellerman",wikidata,M,Q138105,way
"Avenue du Prince Charles de Lorraine",wikidata,M,Q158232,way
"Boulevard Pire Lefèbvre Desnouettes",wikidata,M,Q2362056,way
"Clos Lamartine",wikidata,M,Q188697,way
"Grand-Place Baudouin Ier",wikidata,M,Q12976,way
"Place Cardinal Mercier",wikidata,M,Q468097,way
"Place Saint-Sébastien",wikidata,M,Q183332,way
"Rue Albert Desenfans",wikidata,M,Q2630662,way
"Rue César Franck",wikidata,M,Q50187,way
"Rue Charles De Coster",wikidata,M,Q315176,way
"Rue Charles Plisnier",wikidata,M,Q1065801,way
"Rue Chopin",wikidata,M,Q1268,way
"Rue Debussy",wikidata,M,Q4700,way
"Rue Gaston Reiff",wikidata,M,Q558465,way
"Rue Georges Rodenbach",wikidata,M,Q378240,way
"Rue Georges Simenon",wikidata,M,Q128790,way
"Rue Henri Pirenne",wikidata,M,Q312501,way
"Rue Jean Volders",wikidata,M,Q3175076,way
"Rue Jean-Sébastien Bach",wikidata,M,Q1339,way
"Rue Jules Bordet",wikidata,M,Q211787,way
"Rue Jules Destrée",wikidata,M,Q522308,way
"Rue Jules Hans",wikidata,M,Q11295532,way
"Rue Marcel Thiry",wikidata,M,Q2146661,way
"Rue Maurice Carême",wikidata,M,Q1395991,way
"Rue Maurice Maeterlinck",wikidata,M,Q49747,way
"Rue Mozart",wikidata,M,Q254,way
"Rue Rombaut",wikidata,M,Q965463,way
"Rue Saint-Laurent",wikidata,M,Q17590,way
"Rue Saint-Saens",wikidata,M,Q150445,way
"Rue Saint-Sébastien",wikidata,M,Q183332,way
"Rue Stanislas-André Steeman",wikidata,M,Q302296,way
"Square Drouet d'Erlon",wikidata,M,Q921887,way
"Square Lully",wikidata,M,Q1192,way
"Square Ravel",wikidata,M,Q1178,way
"Avenue Abbesse de Remiremont",csv,F,,way
"Rue Marie Tête de Bois",csv,F,,way
"Rue Sainte-Gertrude",csv,F,,way
"Avenue Georges Rousseau",csv,M,,way
"Avenue Henri de Withem",csv,M,,way
"Avenue Prince d'Orange",csv,M,,way
"Avenue Raymond Brassinne",csv,M,,way
"Avenue Saint-Jacques",csv,M,,way
"Chemin Jean Lanneau",csv,M,,way
"Chemin de Pierre Charlier",csv,M,,way
"Clos Armand Bernier",csv,M,,way
"Clos Saint-Jean",csv,M,,way
"Clos du Prince d'Orange",csv,M,,way
"Drève du Petit Père Denis",csv,M,,way
"Drève du Petit Père Michel",csv,M,,way
"Rue Armand Wilputte",csv,M,,way
"Rue Armand de Moor",csv,M,,way
"Rue Arnould Bourgeys",csv,M,,way
"Rue Comte Jacques de Meeüs",csv,M,,way
"Rue Doyen Van Belle",csv,M,,way
"Rue Émile Dury",csv,M,,way
"Rue Ernest Laurent",csv,M,,way
"Rue Gaston Dubois",csv,M,,way
"Rue Jacques Hubeau",csv,M,,way
"Rue Jean Lanneau",csv,M,,way
"Rue Jean le Meunier",csv,M,,way
"Rue Joseph Gos",csv,M,,way
"Rue Marius Wautier",csv,M,,way
"Rue Michel Botte",csv,M,,way
"Rue Norbert Bourgeys",csv,M,,way
"Rue Petit Jean",csv,M,,way
"Rue Pierre Flamand",csv,M,,way
"Rue Raymond Lebleux",csv,M,,way
"Rue René Francq",csv,M,,way
"Rue Roger Laus",csv,M,,way
"Rue Saint-Nicolas",csv,M,,way
"Rue Schépers",csv,M,,way
"Rue Wayez",csv,M,,way
